score_threshold,tp,fp,fn,precision,recall,f1
0.2,19061,97913,2691,0.16295074119035,0.8762872379551305,0.27480068624482795
0.3,17711,59138,4041,0.23046493773503884,0.8142239794041927,0.35924584943357574
0.4,16307,28080,5445,0.36738234167661704,0.7496781905112173,0.4931129893103917
0.5,15376,15426,6376,0.4991883643919226,0.7068775285031261,0.5851505118544735
0.6,14560,8465,7192,0.6323561346362649,0.6693637366678926,0.6503338767670902
0.7,13798,4342,7954,0.7606394707828005,0.6343324751746966,0.691767772987065
0.8,12966,1978,8786,0.8676391862955032,0.5960831187936741,0.7066710268149117
