sigma,samples,pred_count,target_count,matched_count,false_count,precision,recall,f1,false_rate
5.0,6,507,1704,506,1,0.9980276134122288,0.29694835680751175,0.4577114427860697,0.0019723865877712033
4.0,6,787,1704,663,124,0.8424396442185514,0.3890845070422535,0.532316338819751,0.15756035578144853
3.0,6,4155,1704,925,3230,0.2226233453670277,0.5428403755868545,0.3157535415599932,0.7773766546329723
2.5,6,12053,1704,1134,10919,0.09408446030034016,0.6654929577464789,0.1648615250417969,0.9059155396996599
2.0,6,29059,1704,1321,27738,0.045459238101792906,0.7752347417840375,0.0858823911842148,0.9545407618982071
1.5,6,52575,1704,1462,51113,0.02780789348549691,0.857981220657277,0.05386982074098638,0.972192106514503
