f1,false_count,false_rate,match_distance_px_mean,match_distance_px_p95,matched_count,missed_count,noise,precision,pred_count,raw_peaks,recall,sample_id,sigma,target_count,threshold
0.4682080924855491,0,0.0,0.8572742938995361,1.4128049612045288,81,184,55.53122685699463,1.0,81,81,0.30566037735849055,sample_000011,5.0,265,276.2300187721252
0.5257731958762887,21,0.17073170731707318,0.9125287532806396,1.6306840062141406,102,163,55.53122685699463,0.8292682926829268,123,123,0.3849056603773585,sample_000011,4.0,265,220.6987919151306
0.30997876857749473,531,0.7843426883308715,1.0335297584533691,2.0844385027885437,146,119,55.53122685699463,0.21565731166912852,677,677,0.5509433962264151,sample_000011,3.0,265,165.16756505813598
0.15889924545051043,1809,0.9099597585513078,1.1576366424560547,2.6634500026702854,179,86,55.53122685699463,0.09004024144869216,1988,1988,0.6754716981132075,sample_000011,2.5,265,137.40195162963866
0.07979559748427674,4620,0.9579100145137881,1.2260966300964355,3.2997978210449186,203,62,55.53122685699463,0.0420899854862119,4823,4823,0.7660377358490567,sample_000011,2.0,265,109.63633820114136
0.05117412494461675,8532,0.9736391646696337,1.372251033782959,3.500717282295227,231,34,55.53122685699463,0.026360835330366313,8763,8768,0.8716981132075472,sample_000011,1.5,265,81.87072477264404
0.4037854889589905,1,0.015384615384615385,0.7900880575180054,1.4021206498146048,64,188,104.51885464324951,0.9846153846153847,65,65,0.25396825396825395,sample_000065,5.0,252,519.8305531806946
0.4985994397759104,16,0.1523809523809524,0.863361120223999,1.629211592674255,89,163,104.51885464324951,0.8476190476190476,105,105,0.3531746031746032,sample_000065,4.0,252,415.31169853744507
0.28322440087145967,536,0.8048048048048048,1.019303560256958,2.3318562388420103,130,122,104.51885464324951,0.19519519519519518,666,666,0.5158730158730159,sample_000065,3.0,252,310.7928438941956
0.14581458145814583,1808,0.917766497461929,1.1476471424102783,2.8509917974472043,162,90,104.51885464324951,0.08223350253807106,1970,1970,0.6428571428571429,sample_000065,2.5,252,258.5334165725708
0.073838824930528,4600,0.9611366485582951,1.202359914779663,3.006299316883087,186,66,104.51885464324951,0.038863351441704976,4786,4786,0.7380952380952381,sample_000065,2.0,252,206.27398925094604
0.046423390246624265,8501,0.9761166609254794,1.2363450527191162,2.9974655508995034,208,44,104.51885464324951,0.023883339074520612,8709,8710,0.8253968253968254,sample_000065,1.5,252,154.0145619293213
0.4514285714285714,0,0.0,0.7236713171005249,1.3333538889884942,79,192,61.83275193328857,1.0,79,79,0.2915129151291513,sample_000348,5.0,271,307.5345296440124
0.5151515151515151,23,0.184,0.762168288230896,1.5177555978298178,102,169,61.83275193328857,0.816,125,125,0.3763837638376384,sample_000348,4.0,271,245.70177771072386
0.3068783068783068,529,0.7848664688427299,0.8756651282310486,1.8185452222824088,145,126,61.83275193328857,0.21513353115727002,674,674,0.5350553505535055,sample_000348,3.0,271,183.8690257774353
0.1527467619472979,1797,0.913109756097561,0.9845216870307922,2.395972728729248,171,100,61.83275193328857,0.08689024390243902,1968,1968,0.6309963099630996,sample_000348,2.5,271,152.952649810791
0.07921182266009852,4603,0.9581598667776853,1.1539572477340698,3.197680711746216,201,70,61.83275193328857,0.04184013322231474,4804,4805,0.7416974169741697,sample_000348,2.0,271,122.03627384414672
0.050227803089232144,8502,0.9741063244729606,1.1927324533462524,3.148294687271118,226,45,61.83275193328857,0.025893675527039414,8728,8729,0.8339483394833949,sample_000348,1.5,271,91.11989787750244
0.45454545454545453,0,0.0,0.7572762370109558,1.3468019783496856,80,192,56.875115890502926,1.0,80,80,0.29411764705882354,sample_000550,5.0,272,282.9142175674438
0.5316455696202531,18,0.14634146341463414,0.8079555630683899,1.5901594161987302,105,167,56.875115890502926,0.8536585365853658,123,123,0.3860294117647059,sample_000550,4.0,272,226.0391016769409
0.3097997892518441,530,0.7828655834564254,0.9423097372055054,1.9568974375724786,147,125,56.875115890502926,0.2171344165435746,677,677,0.5404411764705882,sample_000550,3.0,272,169.163985786438
0.16652136006974716,1831,0.9055390702274976,1.0482234954833984,2.5290677547454834,191,81,56.875115890502926,0.09446092977250248,2022,2024,0.7022058823529411,sample_000550,2.5,272,140.7264278411865
