score_threshold,tp,fp,fn,precision,recall,f1
0.2,19212,96639,2540,0.16583370018385685,0.8832291283560132,0.27923809800658417
0.3,17494,48487,4258,0.26513693335960353,0.8042478852519308,0.39880090729828
0.4,16271,26229,5481,0.38284705882352943,0.7480231702831923,0.5064745066301437
0.5,15340,14218,6412,0.5189796332634143,0.7052225082751011,0.5979341259013837
0.6,14552,7813,7200,0.6506595126313436,0.6689959543949981,0.6597003422716866
0.7,13790,4117,7962,0.7700899089741442,0.6339646929018021,0.69542852820293
0.8,13016,1937,8736,0.870460777101585,0.5983817579992644,0.7092221768151479
