score_threshold,precision,recall,f1,pred_count,target_count,matched_count,false_count,missed_count,epoch,train_loss,val_loss
0.9,0.892226148409894,0.39177657098525986,0.5444743935309974,566,1289,505,61,784,1,0.763452175896835,0.5765091134373312
0.7,0.8212634822804314,0.4134988363072149,0.5500515995872033,649,1289,533,116,756,2,0.7144380726306662,0.5121504122012293
0.6,0.8925476603119584,0.3995345228859581,0.5519828510182208,577,1289,515,62,774,3,0.7073283342646471,0.5180722813866692
0.8,0.823170731707317,0.4189294026377037,0.5552699228791774,656,1289,540,116,749,4,0.7039532225228056,0.5200280202202189
0.7,0.8125915080527086,0.430566330488751,0.5628803245436105,683,1289,555,128,734,5,0.7009472920006883,0.5008744252650269
0.6,0.8381679389312977,0.425911559348332,0.5648148148148148,655,1289,549,106,740,6,0.6988866617213936,0.5071917077959179
0.6,0.8697068403908795,0.4142746314972847,0.5612191276931161,614,1289,534,80,755,7,0.6969567926848046,0.5191237902837981
0.6,0.8195266272189349,0.42979053529868116,0.5638676844783714,676,1289,554,122,735,8,0.6951259159995021,0.49845949946906526
0.6,0.8403100775193798,0.4204809930178433,0.5604963805584281,645,1289,542,103,747,9,0.6938735853959739,0.4919146758045564
0.7,0.827123695976155,0.430566330488751,0.5663265306122449,671,1289,555,116,734,10,0.6926642062129639,0.515958698124956
0.6,0.768,0.44685802948021724,0.5649828347229033,750,1289,576,174,713,11,0.6912828181647931,0.5003748689944003
0.6,0.8622366288492707,0.4127230411171451,0.5582371458551941,617,1289,532,85,757,12,0.6903972680808982,0.5072502429380051
0.6,0.853035143769968,0.4142746314972847,0.5577023498694518,626,1289,534,92,755,13,0.689040720911245,0.4938142788152093
0.6,0.9069767441860465,0.39332816136539955,0.5487012987012987,559,1289,507,52,782,14,0.6883637273831195,0.5086982400173606
0.6,0.8944636678200693,0.4010861132660978,0.5538296732726299,578,1289,517,61,772,15,0.6873715949948415,0.5037878814391263
0.6,0.897887323943662,0.395655546935609,0.5492730210016156,568,1289,510,58,779,16,0.6868412647706383,0.5037252391287685
0.7,0.766042780748663,0.44453064391000774,0.5625920471281295,748,1289,573,175,716,17,0.6859130259116513,0.4936618269109546
0.6,0.9053571428571429,0.39332816136539955,0.5484045429962142,560,1289,507,53,782,18,0.6845257258583171,0.5133718072792577
0.7,0.8,0.4375484871993794,0.5656970912738215,705,1289,564,141,725,19,0.6838336706447635,0.5084788822614734
0.7,0.8125,0.43366951124903025,0.5655032878098128,688,1289,559,129,730,20,0.6832890293857177,0.5139874511553222
0.7,0.7747252747252747,0.4375484871993794,0.5592464055528013,728,1289,564,164,725,21,0.6820332722640805,0.5209070322106023
0.6,0.8708609271523179,0.40806826997672613,0.5557316428948759,604,1289,526,78,763,22,0.6814685151303805,0.5102281375305711
0.7,0.7464239271781534,0.44530643910007756,0.5578231292517006,769,1289,574,195,715,23,0.6804461142869662,0.5116352022970729
0.8,0.8058823529411765,0.4251357641582622,0.5566277298120873,680,1289,548,132,741,24,0.6801414131899908,0.499165117216187
0.6,0.8066378066378066,0.43366951124903025,0.5640766902119072,693,1289,559,134,730,25,0.6791204067372885,0.5075554928223237
0.8,0.7555555555555555,0.4484096198603569,0.5628042843232717,765,1289,578,187,711,26,0.678354835498557,0.5368884901843646
0.8,0.8154761904761905,0.4251357641582622,0.5588985211626721,672,1289,548,124,741,27,0.6772753298597907,0.5101098465367351
0.8,0.8486739469578783,0.42203258339798294,0.5637305699481866,641,1289,544,97,745,28,0.6765812100984241,0.5421693374991932
0.6,0.8305343511450382,0.42203258339798294,0.5596707818930041,655,1289,544,111,745,29,0.6757466923932617,0.49953199510096785
0.6,0.7861111111111111,0.439100077579519,0.5634644101543056,720,1289,566,154,723,30,0.6751396427046975,0.49432499513034267
