score_threshold,tp,fp,fn,precision,recall,f1
0.2,718,1804,658,0.2846946867565424,0.5218023255813954,0.3683940482298615
0.3,660,1744,716,0.27454242928452577,0.4796511627906977,0.34920634920634924
0.4,548,95,828,0.8522550544323484,0.39825581395348836,0.54284299157999
0.5,512,31,864,0.9429097605893186,0.37209302325581395,0.5336112558624283
0.6,484,26,892,0.9490196078431372,0.35174418604651164,0.513255567338282
0.7,450,17,926,0.9635974304068522,0.32703488372093026,0.4883342376559957
0.8,404,15,972,0.964200477326969,0.2936046511627907,0.45013927576601676
