score_threshold,tp,fp,fn,precision,recall,f1
0.2,18955,105260,2797,0.15259831743348226,0.8714141228392791,0.25971623723170306
0.3,17832,69759,3920,0.2035825598520396,0.8197866862817212,0.3261662840785418
0.4,16209,31593,5543,0.3390862307016443,0.7451728576682604,0.46608390602984734
0.5,15362,19221,6390,0.4442066911488303,0.7062339095255609,0.5453803141918878
0.6,14679,11972,7073,0.5507860868260103,0.6748344979771975,0.6065326529347355
0.7,14023,6898,7729,0.6702834472539554,0.6446763515998529,0.6572305673376608
0.8,13347,3411,8405,0.7964554242749732,0.6135987495402722,0.6931706050376525
