score_threshold,tp,fp,fn,precision,recall,f1
0.2,20337,139392,1415,0.12732190147061587,0.9349485104817947,0.2241226354274001
0.3,18644,74832,3108,0.19945226582224315,0.8571165869805075,0.32360190231540953
0.4,17172,38547,4580,0.3081893070586335,0.7894446487679294,0.44331427243742827
0.5,16204,22404,5548,0.41970576046415253,0.7449429937477013,0.536911862160371
0.6,15292,12895,6460,0.5425196012346117,0.7030158146377344,0.6124271611365867
0.7,14429,6973,7323,0.6741893281001775,0.663341301949246,0.6687213236316448
0.8,13598,3208,8154,0.8091157919790551,0.6251379183523355,0.7053270397842212
