score_threshold,precision,recall,f1,pred_count,target_count,matched_count,false_count,missed_count,epoch,train_loss,val_loss
0.8,0.8034188034188035,0.38226921512810086,0.5180490493248828,1170,2459,940,230,1519,1,0.7209751217291026,0.4263762350453185
0.9,0.8013411567476949,0.3887759251728345,0.5235487404162102,1193,2459,956,237,1503,2,0.6936055024528888,0.48964823672977525
0.9,0.5732416710735061,0.44082960553070355,0.4983908045977012,1891,2459,1084,807,1375,3,0.6886627248521052,0.5625202534577328
0.8,0.7797947908445146,0.40178934526230176,0.5303274288781535,1267,2459,988,279,1471,4,0.6856022922943218,0.4124341154425345
0.9,0.858195211786372,0.379015860105734,0.5258110014104371,1086,2459,932,154,1527,5,0.6832530926864081,0.4127522746333812
0.9,0.8061309030654515,0.39568930459536394,0.530823786142935,1207,2459,973,234,1486,6,0.6816045421075916,0.43431949281970417
0.8,0.7774269928966061,0.4005693371289142,0.5287171229200215,1267,2459,985,282,1474,7,0.6802945382567499,0.41441026138069254
0.9,0.7771565495207667,0.39568930459536394,0.5243869576933441,1252,2459,973,279,1486,8,0.6790067658450767,0.4410277450958123
0.9,0.8509485094850948,0.38308255388369256,0.5283230510375772,1107,2459,942,165,1517,9,0.6781415644080676,0.41770356669271314
0.9,0.8262748487467588,0.3887759251728345,0.5287610619469026,1157,2459,956,201,1503,10,0.677128520544911,0.45810961262399735
0.9,0.846911369740376,0.38470923139487595,0.529082774049217,1117,2459,946,171,1513,11,0.6762670058696555,0.4152519241238565
0.9,0.879359095193214,0.3794225294835299,0.5301136363636364,1061,2459,933,128,1526,12,0.6756024170056973,0.4202505011436754
0.9,0.8252595155709342,0.3879625864172428,0.5278008298755187,1156,2459,954,202,1505,13,0.6746465960561359,0.42561432882335654
0.9,0.8314606741573034,0.3912159414396096,0.5320796460176992,1157,2459,962,195,1497,14,0.6737795305074057,0.42698754664416605
0.9,0.7634408602150538,0.40422936152907685,0.5285828237170964,1302,2459,994,308,1465,15,0.6731336364256912,0.4829942059156371
0.9,0.8141891891891891,0.3920292801952013,0.529234147680483,1184,2459,964,220,1495,16,0.6723795367241526,0.4120963813917858
0.9,0.7928802588996764,0.3985359902399349,0.5304465493910689,1236,2459,980,256,1479,17,0.6718135657757915,0.436133979013687
0.9,0.8571428571428571,0.38064253761691746,0.5271754435370318,1092,2459,936,156,1523,18,0.6715354493656732,0.41203677831353513
0.9,0.5762081784386617,0.44123627490849937,0.4997696913864579,1883,2459,1085,798,1374,19,0.6706996555725078,0.589708752864255
0.9,0.6966824644549763,0.4184627897519317,0.5228658536585366,1477,2459,1029,448,1430,20,0.6702803273158418,0.5555276916028108
0.9,0.8134453781512605,0.39365595770638473,0.5305563167991231,1190,2459,968,222,1491,21,0.6694546521807682,0.4383923108263602
0.9,0.8310104529616724,0.3879625864172428,0.5289714444136401,1148,2459,954,194,1505,22,0.6690513302880126,0.4251055602084787
0.9,0.7691711851278079,0.403822692151281,0.5296000000000001,1291,2459,993,298,1466,23,0.6682336108841158,0.4899845215084009
0.9,0.848,0.3879625864172428,0.5323660714285715,1125,2459,954,171,1505,24,0.6676016422932154,0.41947082953667375
0.9,0.8270223752151463,0.39080927206181376,0.5307925987296327,1162,2459,961,201,1498,25,0.666945221375271,0.4381931890089926
0.9,0.8528880866425993,0.38430256201708013,0.5298570227081582,1108,2459,945,163,1514,26,0.6667611376929108,0.40991090664701024
0.9,0.8392226148409894,0.3863359089060594,0.5291005291005292,1132,2459,950,182,1509,27,0.6662619021720917,0.4484566299623124
0.9,0.7794466403162056,0.40097600650671006,0.5295381310418904,1265,2459,986,279,1473,28,0.6655104520444016,0.4420349749749521
0.8,0.8103161397670549,0.3960959739731598,0.5320950559956297,1202,2459,974,228,1485,29,0.6652551368801901,0.36212593794126313
0.9,0.8682745825602969,0.38064253761691746,0.5292620865139949,1078,2459,936,142,1523,30,0.6645861558221897,0.4100209423227249
